starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	2	23	25	23
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:24 2017	1494364104	0	25	25	25
Tue May 09 23:08:24 2017	1494364104	1	25	25	25
Tue May 09 23:08:24 2017	1494364104	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	1	25	25	25
Tue May 09 23:08:24 2017	1494364104	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	26	25
Tue May 09 23:08:25 2017	1494364105	0	25	26	25
Tue May 09 23:08:24 2017	1494364104	1	25	26	25
Tue May 09 23:08:25 2017	1494364105	0	25	26	25
Tue May 09 23:08:25 2017	1494364105	0	25	26	25
Tue May 09 23:08:25 2017	1494364105	0	25	26	25
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	25
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	25	26	25
Tue May 09 23:08:25 2017	1494364105	0	26	26	25
Tue May 09 23:08:24 2017	1494364104	0	26	26	25
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:24 2017	1494364104	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	26	26
Tue May 09 23:08:25 2017	1494364105	0	26	27	26
